,FEDFUNDS,CPI_INFLATION,GS10,SP500_RETURN,VIX,regime,regime_name
1996-03-31,5.31,0.0032258064516128,6.27,0.007885395976348,18.8799991607666,0,calm
1996-04-30,5.22,0.0038585209003214,6.51,0.0133420201057064,15.829999923706056,0,calm
1996-05-31,5.24,0.0019218449711724,6.74,0.0225961785505006,16.06999969482422,0,calm
1996-06-30,5.27,0.0019181585677747,6.91,0.0022541674267919,13.68000030517578,0,calm
1996-07-31,5.4,0.001914486279515,6.87,-0.0468275089929191,19.459999084472656,0,calm
1996-08-31,5.22,0.0012738853503184,6.64,0.0186391420307611,17.010000228881836,0,calm
1996-09-30,5.3,0.0031806615776082,6.83,0.0527853416930763,16.950000762939453,0,calm
1996-10-31,5.24,0.0031705770450221,6.53,0.0257661848107202,18.11000061035156,0,calm
1996-11-30,5.31,0.0031605562579013,6.2,0.0708089630565467,17.139999389648438,0,calm
1996-12-31,5.29,0.0025204788909893,6.3,-0.0217400256201896,20.920000076293945,1,stressed
1997-01-31,5.25,0.0018856065367693,6.58,0.0595106265461695,19.469999313354492,0,calm
1997-02-28,5.19,0.0018820577164364,6.42,0.005910091189056,21.100000381469727,1,stressed
1997-03-31,5.39,0.0006261740763933,6.69,-0.0435486361821428,22.13999938964844,1,stressed
1997-04-30,5.51,0.0006257822277846,6.89,0.0567636050323618,20.059999465942383,1,stressed
1997-05-31,5.5,0.0,6.71,0.0569254445745235,19.190000534057617,0,calm
1997-06-30,5.56,0.0018761726078797,6.49,0.0425350366289038,21.530000686645508,1,stressed
1997-07-31,5.52,0.0012484394506866,6.22,0.0752427225584924,21.479999542236328,1,stressed
1997-08-31,5.54,0.0024937655860348,6.3,-0.0591828952940651,24.760000228881836,1,stressed
1997-09-30,5.54,0.0024875621890545,6.21,0.0517890825490749,22.90999984741211,1,stressed
1997-10-31,5.5,0.0018610421836229,6.03,-0.0350860778207731,35.09000015258789,2,crisis
1997-11-30,5.52,0.0012383900928791,5.88,0.0436214533803277,27.43000030517578,1,stressed
1997-12-31,5.5,0.0006184291898578,5.81,0.0156091381815246,24.010000228881836,1,stressed
1998-01-31,5.56,0.0012360939431395,5.54,0.0100990103368634,21.469999313354492,1,stressed
1998-02-28,5.51,0.0,5.57,0.0680783664885876,18.549999237060547,0,calm
